Sheldon | Excuse me. | 00:00:41,927 | 00:00:44,095
Sheldon | Fine. Whisper it. | 00:10:13,393 | 00:10:15,611

Sheldon | Shotgun. | 00:10:20,316 | 00:10:21,533

Sheldon | So, Sheldon, tell us about your trip. Where'd you go? Where didn't I go? I went to New York, Chicago, Atlanta, Denver, Seattle. How were they? Oh, I have no idea. I never left the train station. | 00:10:34,261 | 00:10:49,909

Sheldon | Hang on. You traveled across the entire country and never left a train station? Why would I? That's where all the cool trains are. I'm sorry, so you never went outside? Or had a single piece of fruit. | 00:10:51,412 | 00:11:05,425

Sheldon | So... why do you think you'd make a good pharmaceutical sales rep? Well, I'm a people person. Mm-hmm. People like me. Some of my favorite people are people. | 00:11:08,846 | 00:11:19,689

Sheldon | I feel like I'm saying “people” a lot. People, people, people, PE... Okay, I'm done. You sure? People. Yes. Good! So, how do you feel your previous job experience has prepared you for a career like this? Uh, well, as a waitress, sales was a big part of my job. I mean, believe me, I convinced a lot of very large customers, who should not be eating cheesecake, to have more cheesecake. I mean, one of those chubsters even had an insulin pump! Uh-huh! | 00:11:20,691 | 00:11:52,088

Sheldon | I have an insulin pump. | 00:11:53,173 | 00:11:56,209

Sheldon | People. (quiet laugh) | 00:11:58,395 | 00:12:00,596

Sheldon | It's weird, right? A grown man in his 30s living with my mother. That is weird. I thought he was, like, 45. Come on, you don't think it's a little odd? I don't know! I mean, she's lonely. He needs a place to stay. I doubt there's any funny business going on. And even if there was, who cares? They're both adults. “Who cares”?! You wouldn't care if I slept with your mom? You know what? You're my best friend, and she's in a bad marriage. I give you my blessing. This is stupid. I'm just gonna call my mother and be honest with her. 'Cause that's what little matzo balls do. | 00:12:03,183 | 00:12:39,769

Sheldon | (line ringing) STUART: This is Debbie! MRS. WOLOWITZ: And this is Stuart! BOTH: Just kidding! STUART: Leave a message! (beeps) | 00:12:41,889 | 00:12:55,118

Sheldon | (whispers): This is the part where you talk. All right, let's say a physician was prescribing one of our competitor's drugs. How would you convince them to switch to ours? | 00:12:56,286 | 00:13:08,297

Sheldon | Um... any chance his car needs to be washed by a girl in a bikini? (quietly): No... Okay, I'm really sorry for wasting your time. Don't worry about it. Thanks for stopping by. Okay, thanks. | 00:13:12,920 | 00:13:30,353

Sheldon | Um, I'm sor... Listen, could you do me a favor and not tell Bernadette how badly I blew this interview? She'll get upset. And honestly I'm a... a little terrified of her. Wait, wait. You're scared of Bernadette? Yeah, kind of. I thought it was just me! | 00:13:31,739 | 00:13:51,207

Sheldon | E-Everyone thinks she's so nice with that squeaky little voice. I know, but she's kind of a bully! (stammers) She is! I-I didn't even want to meet you, but, uh, I was too scared to say no to her. Me, too! Yeah, yeah! One-one time, I had... Oh! (laughs) I had to tell her we were cutting the-the research funding for one of the drugs she was developing. What happened? I couldn't do it! She's still working on it! (laughs) (laughing) | 00:13:53,127 | 00:14:22,572

Sheldon | Oh! We're not gonna tell her about this, right? Oh, my God, no! No, no... | 00:14:23,540 | 00:14:28,911

Sheldon | At the hot dog stand in the Denver train station-- Heinz ketchup. At the hot dog stand in the Salt Lake City train station-- Heinz ketchup. At the hot dog stand in the Indianapolis train station... | 00:14:30,080 | 00:14:41,808

Sheldon | I don't care. | 00:14:43,143 | 00:14:45,728

Sheldon | Wrong! Hunt's! | 00:14:47,598 | 00:14:49,265

Sheldon | Hey, Amy! What do you say? You ready to move on to the mustard round? Have you not noticed that I've been sitting back here quietly stewing for the past two hours? I just thought you were bad at the game. | 00:14:50,684 | 00:15:02,995

Sheldon | I'm mad at you! | 00:15:04,248 | 00:15:05,998

Sheldon | How could you just go away like that without even saying good-bye, and then call Leonard for help instead of me? | 00:15:06,867 | 00:15:12,121

Sheldon | Amy? May I please have a moment of privacy to speak with my roommate? We're in a moving car! | 00:15:14,842 | 00:15:23,516

Sheldon | What do you expect me to do? Stick my fingers in my ears? Well, I was thinking put your head out the window like a dog, but that'll work. | 00:15:25,552 | 00:15:32,191

Sheldon | Please? This'll be quick. | 00:15:33,310 | 00:15:35,111

Sheldon | Leonard? As soon as we get home, I want to have coitus with Amy. | 00:15:39,950 | 00:15:45,404

Sheldon | Okay, she can't hear. | 00:15:52,663 | 00:15:54,380

Sheldon | The reason I called you is because I didn't want Amy to know I couldn't make it on my own. What's the big deal? Oh, of course it's no big deal to you. You idolize me, and nothing could ever knock me off that pedestal you put me on. Well, yeah, it's true. You-you are a god to me. | 00:15:57,334 | 00:16:17,570

Sheldon | Can I stop now? Just tell her. | 00:16:18,772 | 00:16:23,192

Sheldon | I called Leonard because... I failed. And I didn't want you to think less of me. | 00:16:24,244 | 00:16:31,918

Sheldon | You were worried about that? | 00:16:32,753 | 00:16:34,921

Sheldon | Yes. | 00:16:36,256 | 00:16:38,457

Sheldon | Sheldon... it's okay with me that you're not perfect. | 00:16:40,510 | 00:16:46,382

Sheldon | Can I have one more moment with Leonard? Sure. Amy just hurt my feelings. I want to break up with her. | 00:16:50,304 | 00:17:06,535

Sheldon | Now, I never thought I'd say this, but I'm kind of excited to see Sheldon. I never thought I'd say this, but Penny got a job today. | 00:17:09,289 | 00:17:18,497

Sheldon | She did? Well, the only reason she got it is 'cause the guy who interviewed her loves me. (knocking) | 00:17:19,383 | 00:17:26,973

Sheldon | (clears throat) | 00:17:27,924 | 00:17:30,092

Sheldon | What do you want? I, uh, kind of got the feeling you might not be okay with me staying at your mom's. You're right, I'm not. I think it's weird. Howie? It is. He's a grown man. He's just gonna live there rent-free? How is that gonna motivate him to get off his butt and get a job? I mean, do you even have a plan? Hey, you're not my father, okay? And besides, your mother and I were talking... “Your mother and I”? You're not my father! I didn't say I was your father! Well, I didn't say I was your father! Okay, calm down. You're not his father, he's not your father! Nobody's anybody's father. I-I'm sorry you don't like my life choices, but it's my life! Well, it's my house, it's my rules! Oh-oh! Okay, Dad! If I mow the lawn, can I have my allowance? Hey, don't you take that sarcastic tone with him! I don't have to listen to you! Don't talk to her like that! That is my mother... Wife! My wife! I said my wife! You know what? This isn't getting us anywhere. When you're ready to apologize, you know where to find me. Well, yeah, in my house! That's right, sucka! | 00:17:31,094 | 00:18:35,991

Sheldon | I wish I'd never gone on that trip. I feel no better now than when I left. | 00:18:38,995 | 00:18:44,166

Amy | But you still accomplished something. | 00:18:44,168 | 00:18:45,668

Leonard | Yeah. If you had told anyone that you were going away on a train by yourself across the country, do you know what they would have said? | 00:18:45,670 | 00:18:52,174

Sheldon |  | 00:18:52,176 | 00:18:54,176

Amy | But you did do it. So what if it didn't all go your way? That's what makes it an adventure. | 00:18:58,181 | 00:19:04,153

Amy | See? This trip was good for you. | 00:19:24,292 | 00:19:27,543

Sheldon | Yeah, I feel renewed. I'm ready to deal with any changes that come my way. | 00:19:47,030 | 00:19:52,067

Sheldon | Would you like to see pictures from my trip? | 00:20:07,849 | 00:20:09,900

Penny | I thought your phone got stolen. | 00:20:09,902 | 00:20:11,434

Sheldon | Yeah, it did, but luckily all my photos got backed up to the Cloud. | 00:20:11,436 | 00:20:15,422

Leonard | And you thought they all had a silver lining. | 00:20:15,424 | 00:20:18,692

Penny | I cannot believe you traveled the entire country and never left the train station. | 00:20:38,313 | 00:20:42,933

Sheldon | I know. You know, I almost died in a fire in Des Moines, but I stayed put. FYI-- that's when the Imodium gave out. | 00:20:42,935 | 00:20:51,408
